year,alive,alive_original,alive_newborns,dead_from_starvation,dead_from_old_age,cumulative_deaths,born_this_year,cumulative_births,avg_age_alive,avg_age_dead_starvation,avg_age_dead_old_age,death_ages
0,900,900,0,0,0,0,0,0,1.0,0.0,0.0,[]
1,900,900,0,0,0,0,0,0,2.0,0.0,0.0,[]
2,900,900,0,0,0,0,0,0,3.0,0.0,0.0,[]
3,900,900,0,0,0,0,0,0,4.0,0.0,0.0,[]
4,900,900,0,0,0,0,0,0,5.0,0.0,0.0,[]
5,900,900,0,0,0,0,0,0,6.0,0.0,0.0,[]
6,900,900,0,0,0,0,0,0,7.0,0.0,0.0,[]
7,900,900,0,0,0,0,0,0,8.0,0.0,0.0,[]
8,900,900,0,0,0,0,0,0,9.0,0.0,0.0,[]
9,785,785,0,98,17,115,0,0,10.0,10.0,10.0,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
10,779,779,0,0,6,121,0,0,11.0,0.0,11.0,"[11, 11, 11, 11, 11, 11]"
11,768,768,0,0,11,132,0,0,12.0,0.0,12.0,"[12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12]"
12,696,696,0,64,8,204,0,0,13.0,13.0,13.0,"[13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13]"
13,688,688,0,0,8,212,0,0,14.0,0.0,14.0,"[14, 14, 14, 14, 14, 14, 14, 14]"
14,688,682,6,0,6,218,6,6,14.869186046511627,0.0,15.0,"[15, 15, 15, 15, 15, 15]"
15,627,620,7,56,6,280,1,7,15.830940988835726,16.0,16.0,"[16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16]"
16,620,612,8,0,8,288,1,8,16.801612903225806,0.0,17.0,"[17, 17, 17, 17, 17, 17, 17, 17]"
17,614,604,10,0,8,296,2,10,17.741042345276874,0.0,18.0,"[18, 18, 18, 18, 18, 18, 18, 18]"
18,561,550,11,53,1,350,1,11,18.68270944741533,19.0,19.0,"[19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19]"
19,547,534,13,0,16,366,2,13,19.601462522851918,0.0,20.0,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]"
20,540,527,13,0,7,373,0,13,20.596296296296295,0.0,21.0,"[21, 21, 21, 21, 21, 21, 21]"
21,485,471,14,48,8,429,1,14,21.50515463917526,22.0,22.0,"[22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22]"
22,478,460,18,0,11,440,4,18,22.305439330543933,0.0,23.0,"[23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23]"
23,477,459,18,0,1,441,0,18,23.30398322851153,0.0,24.0,[24]
24,443,426,17,24,10,475,0,18,24.284424379232505,24.375,25.0,"[25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 10, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25]"
25,438,417,21,0,9,484,4,22,25.038812785388128,0.0,26.0,"[26, 26, 26, 26, 26, 26, 26, 26, 26]"
26,432,411,21,0,6,490,0,22,26.025462962962962,0.0,27.0,"[27, 27, 27, 27, 27, 27]"
27,398,376,22,31,4,525,1,23,26.871859296482413,28.0,28.0,"[28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28]"
28,393,370,23,0,6,531,1,24,27.783715012722645,0.0,29.0,"[29, 29, 29, 29, 29, 29]"
29,388,364,24,0,6,537,1,25,28.690721649484537,0.0,30.0,"[30, 30, 30, 30, 30, 30]"
30,367,342,25,18,4,559,1,26,29.53133514986376,31.0,31.0,"[31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31]"
31,356,330,26,1,12,572,2,28,30.359550561797754,13.0,32.0,"[13, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32]"
32,350,323,27,0,7,579,1,29,31.237142857142857,0.0,33.0,"[33, 33, 33, 33, 33, 33, 33]"
33,335,305,30,14,4,597,3,32,31.85373134328358,34.0,34.0,"[34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34]"
34,327,295,32,0,10,607,2,34,32.58715596330275,0.0,35.0,"[35, 35, 35, 35, 35, 35, 35, 35, 35, 35]"
